++ dirname queue_clean.sh
+ cd .
+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --skip-dev --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/clean_voc_sclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[570] pix=53.04 sam=56.41 samrand=51.03
[580] pix=53.00 sam=56.40 samrand=51.02
[590] pix=53.29 sam=56.73 samrand=51.20
[600] pix=53.24 sam=56.71 samrand=51.14
[610] pix=53.14 sam=56.58 samrand=51.00
[620] pix=52.99 sam=56.45 samrand=50.93
[630] pix=52.93 sam=56.36 samrand=50.86
[640] pix=53.08 sam=56.51 samrand=50.79
[650] pix=53.11 sam=56.54 samrand=50.73
[660] pix=52.78 sam=56.19 samrand=50.42
[670] pix=52.69 sam=56.14 samrand=50.30
[680] pix=52.88 sam=56.33 samrand=50.48
[690] pix=52.94 sam=56.37 samrand=50.54
[700] pix=52.99 sam=56.49 samrand=50.53
[710] pix=53.02 sam=56.55 samrand=50.59
[720] pix=53.02 sam=56.61 samrand=50.65
[730] pix=52.87 sam=56.42 samrand=50.53
[740] pix=52.67 sam=56.17 samrand=50.33
[750] pix=52.94 sam=56.49 samrand=50.57
[760] pix=52.91 sam=56.26 samrand=50.59
[770] pix=52.84 sam=56.21 samrand=50.53
[780] pix=52.82 sam=56.27 samrand=50.46
[790] pix=52.85 sam=56.26 samrand=50.43
[800] pix=52.80 sam=56.19 samrand=50.36
[810] pix=52.69 sam=56.09 samrand=50.24
[820] pix=52.73 sam=56.13 samrand=50.22
[830] pix=52.67 sam=56.06 samrand=50.09
[840] pix=52.65 sam=56.06 samrand=50.12
[850] pix=52.73 sam=56.11 samrand=50.25
[860] pix=52.87 sam=56.26 samrand=50.39
[870] pix=52.98 sam=56.30 samrand=50.42
[880] pix=53.02 sam=56.33 samrand=50.40
[890] pix=52.84 sam=56.18 samrand=50.26
[900] pix=52.90 sam=56.32 samrand=50.35
[910] pix=52.94 sam=56.38 samrand=50.45
[920] pix=52.88 sam=56.29 samrand=50.32
[930] pix=52.85 sam=56.29 samrand=50.26
[940] pix=52.76 sam=56.11 samrand=50.13
[950] pix=52.87 sam=56.24 samrand=50.25
[960] pix=52.86 sam=56.33 samrand=50.18
[970] pix=52.98 sam=56.45 samrand=50.30
[980] pix=52.92 sam=56.37 samrand=50.21
[990] pix=52.93 sam=56.34 samrand=50.19
[1000] pix=52.91 sam=56.28 samrand=50.17
[1010] pix=53.01 sam=56.36 samrand=50.24
[1020] pix=53.10 sam=56.45 samrand=50.28
[1030] pix=53.11 sam=56.41 samrand=50.26
[1040] pix=53.16 sam=56.49 samrand=50.33
[1050] pix=53.16 sam=56.48 samrand=50.23
[1060] pix=53.18 sam=56.50 samrand=50.18
[1070] pix=53.19 sam=56.52 samrand=50.27
[1080] pix=53.31 sam=56.62 samrand=50.39
[1090] pix=53.36 sam=56.68 samrand=50.32
