/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[180] pix=34.75 sam=35.78 samrand=35.78
[190] pix=34.87 sam=35.91 samrand=35.91
[200] pix=34.89 sam=35.95 samrand=35.95
[210] pix=35.10 sam=36.08 samrand=36.08
[220] pix=35.33 sam=36.30 samrand=36.30
[230] pix=35.41 sam=36.42 samrand=36.42
[240] pix=35.08 sam=35.98 samrand=35.98
[250] pix=35.45 sam=36.36 samrand=36.36
[260] pix=35.47 sam=36.41 samrand=36.41
[270] pix=35.76 sam=36.77 samrand=36.77
[280] pix=35.47 sam=36.54 samrand=36.54
[290] pix=35.02 sam=35.88 samrand=35.88
[300] pix=34.89 sam=35.75 samrand=35.75
[310] pix=34.56 sam=35.46 samrand=35.46
[320] pix=34.61 sam=35.25 samrand=35.25
[330] pix=34.78 sam=35.55 samrand=35.55
[340] pix=34.78 sam=35.51 samrand=35.51
[350] pix=34.69 sam=35.46 samrand=35.46
[360] pix=34.61 sam=35.34 samrand=35.34
[370] pix=34.74 sam=35.38 samrand=35.38
[380] pix=34.75 sam=35.27 samrand=35.27
[390] pix=34.81 sam=35.47 samrand=35.47
[400] pix=34.86 sam=35.51 samrand=35.51
[410] pix=34.81 sam=35.42 samrand=35.42
[420] pix=34.71 sam=35.33 samrand=35.33
[430] pix=35.13 sam=35.77 samrand=35.77
[440] pix=35.49 sam=36.10 samrand=36.10
[450] pix=35.26 sam=35.94 samrand=35.94
[460] pix=35.15 sam=35.74 samrand=35.74
[470] pix=35.02 sam=35.63 samrand=35.63
[480] pix=35.01 sam=35.57 samrand=35.57
[490] pix=35.01 sam=35.58 samrand=35.58
[500] pix=34.95 sam=35.50 samrand=35.50
[510] pix=34.73 sam=35.40 samrand=35.40
[520] pix=34.80 sam=35.46 samrand=35.46
[530] pix=34.95 sam=35.65 samrand=35.65
[540] pix=34.80 sam=35.50 samrand=35.50
[550] pix=34.79 sam=35.48 samrand=35.48
[560] pix=34.91 sam=35.55 samrand=35.55
[570] pix=34.76 sam=35.33 samrand=35.33
[580] pix=34.59 sam=35.19 samrand=35.19
[590] pix=34.85 sam=35.48 samrand=35.48
[600] pix=34.73 sam=35.39 samrand=35.39
[610] pix=34.76 sam=35.41 samrand=35.41
[620] pix=34.65 sam=35.33 samrand=35.33
[630] pix=34.67 sam=35.38 samrand=35.38
[640] pix=34.67 sam=35.40 samrand=35.40
[650] pix=34.66 sam=35.33 samrand=35.33
[660] pix=34.43 sam=35.11 samrand=35.11
[670] pix=34.30 sam=34.95 samrand=34.95
[680] pix=34.47 sam=35.22 samrand=35.22
[690] pix=34.40 sam=35.19 samrand=35.19
[700] pix=34.40 sam=35.21 samrand=35.21
[710] pix=34.49 sam=35.27 samrand=35.27
[720] pix=34.50 sam=35.25 samrand=35.25
[730] pix=34.45 sam=35.18 samrand=35.18
[740] pix=34.46 sam=35.15 samrand=35.15
[750] pix=34.67 sam=35.35 samrand=35.35
[760] pix=34.69 sam=35.34 samrand=35.34
[770] pix=34.57 sam=35.23 samrand=35.23
[780] pix=34.56 sam=35.18 samrand=35.18
[790] pix=34.56 sam=35.18 samrand=35.18
[800] pix=34.46 sam=35.09 samrand=35.09
[810] pix=34.32 sam=34.97 samrand=34.97
[820] pix=34.34 sam=34.99 samrand=34.99
[830] pix=34.18 sam=34.76 samrand=34.76
[840] pix=34.01 sam=34.55 samrand=34.55
[850] pix=34.10 sam=34.67 samrand=34.67
[860] pix=34.12 sam=34.68 samrand=34.68
[870] pix=34.29 sam=34.85 samrand=34.85
[880] pix=34.29 sam=34.84 samrand=34.84
[890] pix=34.29 sam=34.84 samrand=34.84
[900] pix=34.33 sam=34.89 samrand=34.89
[910] pix=34.30 sam=34.90 samrand=34.90
[920] pix=34.42 sam=35.02 samrand=35.02
[930] pix=34.38 sam=35.00 samrand=35.00
[940] pix=34.31 sam=34.86 samrand=34.86
[950] pix=34.37 sam=34.97 samrand=34.97
[960] pix=34.38 sam=34.98 samrand=34.98
[970] pix=34.50 sam=35.10 samrand=35.10
[980] pix=34.50 sam=35.09 samrand=35.09
[990] pix=34.57 sam=35.15 samrand=35.15
[1000] pix=34.62 sam=35.23 samrand=35.23
[1010] pix=34.65 sam=35.27 samrand=35.27
[1020] pix=34.71 sam=35.34 samrand=35.34
[1030] pix=34.70 sam=35.33 samrand=35.33
[1040] pix=34.67 sam=35.30 samrand=35.30
[1050] pix=34.56 sam=35.21 samrand=35.21
[1060] pix=34.67 sam=35.29 samrand=35.29
[1070] pix=34.81 sam=35.37 samrand=35.37
[1080] pix=34.83 sam=35.35 samrand=35.35
[1090] pix=34.85 sam=35.37 samrand=35.37
[1100] pix=34.85 sam=35.39 samrand=35.39
[1110] pix=34.87 sam=35.39 samrand=35.39
[1120] pix=34.84 sam=35.32 samrand=35.32
[1130] pix=34.81 sam=35.25 samrand=35.25
[1140] pix=34.76 sam=35.21 samrand=35.21
[1150] pix=34.74 sam=35.20 samrand=35.20
[1160] pix=34.82 sam=35.26 samrand=35.26
[1170] pix=34.87 sam=35.32 samrand=35.32
[1180] pix=34.81 sam=35.26 samrand=35.26
[1190] pix=34.85 sam=35.29 samrand=35.29
[1200] pix=34.80 sam=35.21 samrand=35.21
[1210] pix=34.86 sam=35.28 samrand=35.28
[1220] pix=34.82 sam=35.25 samrand=35.25
[1230] pix=34.81 sam=35.22 samrand=35.22
[1240] pix=34.77 sam=35.17 samrand=35.17
[1250] pix=34.75 sam=35.15 samrand=35.15
[1260] pix=34.71 sam=35.11 samrand=35.11
[1270] pix=34.68 sam=35.07 samrand=35.07
[1280] pix=34.64 sam=35.03 samrand=35.03
[1290] pix=34.61 sam=35.01 samrand=35.01
[1300] pix=34.66 sam=35.06 samrand=35.06
[1310] pix=34.61 sam=35.00 samrand=35.00
